TDI Format 1.5	Voltage	Current	Differential Conductance	Fitted Voltage Data
2nd Parameter Class{String}=Multi-Parameter	6.304474137E-7	1.324503311E-4	1.021477849E+3	0E+0
2nd Parameter Class Path{Path}=..\\..\\..\\..\\..\\..\\..	6.34714735E-7	2.649006623E-4	1.285085071E+3	0E+0
2nd Parameter Paths{1D Array (Path)}=[C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Parameter\\Counter_class\\Counter.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Parameter\\Monitor and Filter_class\\Monitor and Filter.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Parameter\\Monitor and Average_class\\Monitor and Average.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Parameter\\DAQ card gate_class\\DAQ card gate.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Parameter\\Source Meter Gate_class\\Source Meter Gate.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Parameter\\Multi Segment u-wave_class\\Multi Segment u-wave.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Parameter\\Multi-Parameter_class\\Multi-Parameter.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Parameter\\Vector Field_class\\Vector Field.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Parameter\\Kepco Multiramp_class\\Kepco Multiramp.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Parameter\\Magnet Power Supply Function Generator_class\\Magnet Power Supply Function Generator.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Parameter\\Sweep Magnet_class\\Sweep Magnet.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Parameter\\6221 Control_class\\6221 Control.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Parameter\\Motor Control_class\\Motor Control.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Parameter\\Laser_Map_class\\Laser Map.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Parameter\\Raw Instrument Control_class\\Raw Instrument Control.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Parameter\\Temperature_gate_class\\Temperature_gate_class.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Parameter\\Expression Evaluator_class\\Expression Evaluator.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Parameter\\Adjust Waveform_class\\Adjust Waveform.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\StonerLab\\Programs\\Source Meter IV\\plugins\\Parameter\\E8257 Control_class\\E8257 Control.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Parameter\\VNA Control_class\\VNA Control.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Parameter\\Measure on Demand_class\\Measure on Demand.lvclass]	6.386055283E-7	3.973509934E-4	1.991881688E+3	0E+0
Analysis Class{String}=Basic Plot	6.382290003E-7	5.298013245E-4	9.264566226E+2	0E+0
Analysis Class Path{Path}=C\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Plotting\\Plotting_Base_class\\Plotting_Base.lvclass	6.377269625E-7	6.622516556E-4	6.128867154E+2	0E+0
Analysis Classes{1D Array (String)}=['RSJ Model Fit']	6.41492246E-7	7.947019868E-4	7.51653525E+2	0E+0
Analysis Classes Premeasure{1D Array (String)}=['Read Temperature Controller Window']	6.455085485E-7	9.271523179E-4	9.264566655E+2	0E+0
Analysis.# pre-routines{I32}=1	6.416177827E-7	1.059602649E-3	4.149763211E+2	0E+0
Analysis: Correct Offset{Boolean}=True	6.367229697E-7	1.19205298E-3	2.825368481E+2	0E+0
Analysis: I{U16}=1	6.44755604E-7	1.324503311E-3	4.799714628E+2	0E+0
Analysis: I.__text__{String}=Current	6.487719068E-7	1.456953642E-3	-5.691090456E+3	0E+0
Analysis: Ic Name{String}=Ic	6.41115829E-7	1.589403974E-3	-9.959405463E+3	0E+0
Analysis: IcRn Name{String}=IcRn	6.368485072E-7	1.721854305E-3	1.532216577E+3	0E+0
Analysis: Rn Name{String}=Rn	6.38354621E-7	1.854304636E-3	3.983762185E+3	0E+0
Analysis: V{U16}=0	6.429984712E-7	1.986754967E-3	2.096717159E+3	0E+0
Analysis: V.__text__{String}=Voltage	6.45885189E-7	2.119205298E-3	9.48514986E+2	0E+0
Control: Display{Enum U16 ((Function Generator,Multi-Segment Ramp,List of Values,Adaptive Step Ramp))}=Function Generator	6.461362078E-7	2.251655629E-3	9.054007016E+2	0E+0
Control: Expression{String}=True	6.381036018E-7	2.38410596E-3	3.556931472E+2	0E+0
Control: Gate delay{Double Float}=0.000000	6.285648825E-7	2.516556291E-3	2.371287634E+2	0E+0
Control:Magnet Output{Double Float}=3.000000E-5	6.382291117E-7	2.649006623E-3	5.610934072E+2	0E+0
Current{Double Float}=8.889284E-7	6.477678313E-7	2.781456954E-3	-1.475467803E+3	0E+0
Differential Conductance{Double Float}=Inf	6.40739301E-7	2.913907285E-3	5.691092075E+3	0E+0
Display Panel{1D Array (Cluster (String,Double Float))}=[{'Label':temperature: T1,'Value':2.974000},{'Label':temperature: T2,'Value':2.732000},{'Label':temperature: dT/dt,'Value':-0.013552},{'Label':Ic,'Value':1.789957E-6}]	6.33459752E-7	3.046357616E-3	1.021477796E+3	0E+0
Elapsed Time{Double Float}=6421.450080	6.342128088E-7	3.178807947E-3	5.691090456E+3	0E+0
Extracted Data{1D Array (Cluster (String,Double Float))}=[{'Label':temperature: T1,'Value':3.030000},{'Label':temperature: T2,'Value':2.772000},{'Label':temperature: dT/dt,'Value':0.031431},{'Label':Ic,'Value':1.861374E-6}]	6.334597517E-7	3.311258278E-3	-1.076692772E+3	0E+0
File:Autodel{Boolean}=True	7.093929795E-7	3.443708609E-3	-5.756883262E+1	0E+0
File:Autosave{Boolean}=True	9.50622177E-7	3.57615894E-3	-1.327921434E+3	2.81410915E-7
File:Export Config{Boolean}=True	1.236030782E-6	3.708609272E-3	1.422775549E+2	5.886976455E-7
File:Final Autosave{Boolean}=True	1.450401108E-6	3.841059603E-3	1.659939761E+3	7.897217106E-7
Filter:Enable{Enum U16 ((None,Analog,Digital,Analog&Digital))}=None	1.616324712E-6	3.973509934E-3	2.586859298E+2	9.541899657E-7
Filter:Points{I32}=4	1.75865247E-6	4.105960265E-3	4.149752965E+2	1.098644278E-6
Filter:Type{U16}=1	1.89307313E-6	4.238410596E-3	3.94431884E+2	1.230155541E-6
Filter:Type.__text__{String}=Repeat	2.01695099E-6	4.370860927E-3	1.810800338E+3	1.352504606E-6
Filter:Window{Double Float}=1.000000	2.120872842E-6	4.503311258E-3	3.905649659E+2	1.467984131E-6
Ic{Double Float}=0.003536	2.216260052E-6	4.635761589E-3	3.494528355E+2	1.578102899E-6
IcRn{Double Float}=1.861374E-6	2.31967987E-6	4.768211921E-3	6.425422054E+2	1.68391293E-6
Iterator{I32}=0	2.410423228E-6	4.900662252E-3	-4.37776141E+2	1.786180114E-6
Magnet: Control Mode{Boolean}=False	2.431257803E-6	4.966887417E-3	1.272767666E+2	1.836170939E-6
Magnet: Final Switch Heater{Enum U8 ((False,True,Mixed))}=	2.369381628E-6	4.834437086E-3	6.868558794E+2	1.735449725E-6
Magnet: Power Supply{Enum U16 ((IPS120,LS625,PS110,Hg iPS,SMS Series,DMG Little CryoFree,DMG Big CryoFree))}=LS625	2.272739323E-6	4.701986755E-3	4.979703972E+2	1.631493312E-6
Magnet: Rate{Double Float}=0.499896	2.16831543E-6	4.569536424E-3	9.959405463E+2	1.52363964E-6
Magnet: Setpoint{Double Float}=0.000000	2.053599763E-6	4.437086093E-3	4.858247276E+2	1.410995297E-6
Magnet: Units{Enum U16 ((Field,Current))}=Field	1.931479035E-6	4.304635762E-3	6.128866779E+2	1.292308148E-6
Magnet: VISA Ref{Visa Refnum (Void)}=GPIB0::23::INSTR	1.80308283E-6	4.17218543E-3	4.065063785E+2	1.165733941E-6
Main Screen Path{Path}=C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\1Code.vi	1.66853666E-6	4.039735099E-3	4.858246095E+2	1.028364497E-6
Measurement Mode Paths{1D Array (Path)}=[C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\X-Y\\Measurem_XY_Base_class\\Measurem_XY_Base.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\X-Y\\Source Meter IV_class\\Source Meter IV.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\X-Y\\DAQ Card IV_class\\DAQ Card IV.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\X-Y\\Demo_Mode_class\\Demo_Mode.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\X-Y\\6221-Lockin-DAQ_class\\6221-Lockin-DAQ.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\X-Y\\DAQSource-Lockin-NVM-DAQ_class\\DAQSource-Lockin-NVM-DAQ.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\X-Y\\6221 Current Source IV_class\\6221 Current Source IV.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\X-Y\\6221 Waveform and Scope IV_class\\6221 Waveform and Scope IV.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\X-Y\\6221 DC Sweep XY_class\\6221 DC Sweep XY.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\X-Y\\6221-Source Meter XY Class\\6221 Source Meter X-Y Class.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\X-Y\\Multi-segment DAQ IV_class\\Multi-segment DAQ IV.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\X-Y\\Network Analyser Sweep_class\\Network Analyser Sweep.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\X-Y\\FMR(B) Sweep_class\\FMR(B) Sweep.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\X-Y\\Passive DAQ Card IV_class\\Passive DAQ Card IV.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\X-Y\\SR580 Waveform IV_class\\SR580 Waveform IV.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\X-Y\\Multi-XY Plugin\\Multi-XY Plugin.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\X-Y\\2400 with 2182 IV_class\\2400 with 2182 IV.lvclass,C:\\Program Files\\National Instruments\\LabVIEW 2018\\Stonerlab\\Programs\\Source Meter IV\\plugins\\X-Y\\2400 with 6514 IV_class\\2400 with 6514 IV.lvclass]	1.524326263E-6	3.907284768E-3	2.785847837E+2	8.75130907E-7
