TDI Format 1.5	Time	Signal
A{Double Float}=99238.0360338	0.0	95764.8140645
A err{Double Float}=894.629195522	0.1	98222.3990095
Stoner.class{String}=Data	0.2	98258.7168209
beta{Double Float}=1.43108978471	0.3	94923.1038902
beta err{Double Float}=0.0281344994047	0.4	98231.9753037
chi^2{Double Float}=472424644.181	0.5	95576.5977886
nfev{I32}=46	0.6	91537.2036337
x_0{Double Float}=3.69789444414	0.7	91020.2009898
x_0 err{Double Float}=0.0388275699784	0.8	90339.6402323
	0.9	87038.924328
	1.0	82155.6783586
	1.1	86572.9645113
	1.2	83197.936505
	1.3	80725.1880828
	1.4	76244.7565313
	1.5	71397.1787436
	1.6	70691.110979
	1.7	73843.9274963
	1.8	70863.9852516
	1.9	68161.8393747
	2.0	66111.1621863
	2.1	63424.949458
	2.2	65439.5741559
	2.3	58375.4447604
	2.4	57919.201563
	2.5	55960.1286582
	2.6	52784.7375536
	2.7	50785.4764613
	2.8	51644.2935631
	2.9	45494.0691731
	3.0	45432.2144471
	3.1	42043.9021208
	3.2	47325.8539156
	3.3	42771.8513487
	3.4	42568.3234407
	3.5	36104.4032447
	3.6	39833.8954185
	3.7	33817.5887412
	3.8	35741.6360875
	3.9	34269.1875993
	4.0	30148.6332164
	4.1	32182.8894708
	4.2	29837.3277747
	4.3	29168.6992993
	4.4	26784.3692738
	4.5	29383.0741044
	4.6	24786.7426246
	4.7	22700.7762011
	4.8	23664.7969873
	4.9	22294.3992587
	5.0	21962.7626846
	5.1	21196.757483
	5.2	19961.2668234
	5.3	18203.3506951
	5.4	19519.4541971
	5.5	17218.281479
	5.6	16695.1458231
	5.7	18604.1432233
	5.8	13107.3992333
	5.9	14400.9693073
	6.0	12190.193625
	6.1	13330.0466951
	6.2	14769.9599964
	6.3	15830.3939239
	6.4	8367.13830471
	6.5	14007.4908827
	6.6	10112.5924233
	6.7	13625.6796717
	6.8	10007.635423
	6.9	8841.73438505
	7.0	4706.12695919
	7.1	7279.99550645
	7.2	4598.05858451
	7.3	8166.61185082
	7.4	8247.14381453
	7.5	801.921171703
	7.6	3709.55373231
	7.7	2886.85766567
	7.8	2966.24443962
	7.9	7355.31847519
	8.0	5027.1887688
	8.1	1899.06574816
	8.2	6179.22578867
	8.3	4273.17531508
	8.4	2968.54260054
	8.5	2624.54097113
	8.6	-1207.41915643
	8.7	2900.80962797
	8.8	4995.68603105
	8.9	2039.32882308
	9.0	2542.64574295
	9.1	6376.92254377
	9.2	534.564833517
	9.3	4419.19957511
	9.4	1409.25244694
	9.5	7696.86346051
	9.6	-392.157169417
	9.7	5691.7269142
	9.8	-292.591629617
	9.9	1850.72309091
	10.0	1640.27170707
