TDI Format 1.5	Temperature	Resistance
Measurement Title{String}=	2.916E+2	4.7878E+0	4.687595E-2
Timestamp{Timestamp}=09:35:56.547 19/11/2010	2.916E+2	4.78736E+0	1.125022E+0
User{String}=phygbu	2.916E+2	4.78788E+0	2.187542E+0
 	2.916E+2	4.78758E+0	3.250062E+0
 	2.916E+2	4.78782E+0	4.312583E+0
 	2.916E+2	4.7878E+0	5.375103E+0
 	2.916E+2	4.78748E+0	6.453249E+0
 	2.916E+2	4.7878E+0	7.515769E+0
 	2.916E+2	4.78789E+0	8.57829E+0
 	2.916E+2	4.78785E+0	9.64081E+0
 	2.916E+2	4.78783E+0	1.071896E+1
 	2.916E+2	4.78788E+0	1.178148E+1
 	2.916E+2	4.7875E+0	1.2844E+1
 	2.916E+2	4.78805E+0	1.390652E+1
 	2.916E+2	4.78769E+0	1.498466E+1
 	2.916E+2	4.78731E+0	1.604718E+1
 	2.916E+2	4.7875E+0	1.71097E+1
 	2.916E+2	4.78746E+0	1.817222E+1
 	2.916E+2	4.78768E+0	1.923474E+1
 	2.916E+2	4.78795E+0	2.029727E+1
 	2.915E+2	4.78753E+0	2.135979E+1
 	2.915E+2	4.78724E+0	2.243793E+1
 	2.916E+2	4.7879E+0	2.350045E+1
 	2.915E+2	4.78782E+0	2.456297E+1
 	2.915E+2	4.78777E+0	2.562549E+1
 	2.915E+2	4.78789E+0	2.670364E+1
 	2.915E+2	4.78788E+0	2.776616E+1
 	2.915E+2	4.78754E+0	2.882868E+1
 	2.915E+2	4.7875E+0	2.98912E+1
 	2.915E+2	4.78764E+0	3.095372E+1
 	2.915E+2	4.78715E+0	3.201624E+1
 	2.915E+2	4.78702E+0	3.307876E+1
 	2.915E+2	4.7873E+0	3.414128E+1
 	2.914E+2	4.78744E+0	3.521943E+1
 	2.913E+2	4.78811E+0	3.628195E+1
 	2.912E+2	4.79221E+0	3.734447E+1
 	2.911E+2	4.79425E+0	3.840699E+1
 	2.91E+2	4.79464E+0	3.946951E+1
 	2.909E+2	4.79526E+0	4.053203E+1
 	2.908E+2	4.79585E+0	4.161017E+1
 	2.907E+2	4.79613E+0	4.267269E+1
 	2.905E+2	4.79659E+0	4.375084E+1
 	2.904E+2	4.79721E+0	4.481336E+1
 	2.902E+2	4.79776E+0	4.587588E+1
 	2.901E+2	4.79799E+0	4.69384E+1
 	2.9E+2	4.79864E+0	4.801655E+1
 	2.898E+2	4.79928E+0	4.907907E+1
 	2.897E+2	4.80006E+0	5.014159E+1
 	2.896E+2	4.80008E+0	5.120411E+1
