TDI Format 1.5	Offset	YIG-Nb-Co::R	YIG-Nb-Co::Theta	Nb::R	Nb::Theta	YIG-Co-Nb::R	YIG-Co-Nb::Theta	iterator	y	temperature: setpoint	temperature: T1	temperature: T2	temperature: T3	temperature: T4	temperature: heater	temperature: gas	temperature: dT/dt	temperature: current temperature	temperature: error
2nd Parameter Class{String}=Temperature Control	0E+0	7.39513485E-1	-1.3728E+1	7.132147696E-1	6.564E+0	2.61649308E-1	7.086E+0	0E+0	9E+0	9E+0	8.993E+0	8.903E+0	NaN	NaN	7.9E+0	9E+0	2.527632285E-3	8.994E+0	6E-3
2nd Parameter Class Path{Path}=..\\..\\..\\..\\..\\..\\..	0E+0	7.39513485E-1	-1.3728E+1	7.132147696E-1	6.564E+0	2.61649308E-1	7.086E+0	0E+0	9E+0	8.943E+0	8.955E+0	8.872E+0	NaN	NaN	7.8E+0	8.941E+0	-3.189599141E-2	8.954E+0	-1.1E-2
Analysis Class{String}=Basic Plot	0E+0	7.395983378E-1	-1.3734E+1	7.132147696E-1	6.564E+0	2.61649308E-1	7.08E+0	0E+0	9E+0	8.943E+0	8.955E+0	8.872E+0	NaN	NaN	7.8E+0	8.941E+0	-3.189599141E-2	8.954E+0	-1.1E-2
Analysis Class Path{Path}=C\\Program Files (x86)\\National Instruments\\LabVIEW 2012\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Plotting\\Plotting_Base_class\\Plotting_Base.lvclass	0E+0	7.395983378E-1	-1.3734E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.086E+0	0E+0	9E+0	8.943E+0	8.955E+0	8.872E+0	NaN	NaN	7.8E+0	8.941E+0	-3.189599141E-2	8.954E+0	-1.1E-2
Analysis.# pre-routines{I32}=0	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.086E+0	0E+0	9E+0	8.943E+0	8.955E+0	8.872E+0	NaN	NaN	7.8E+0	8.941E+0	-3.189599141E-2	8.954E+0	-1.1E-2
Control: Display{Enum U16 ((Function Generator,Multi-Segment Ramp,List of Values))}=List of Values	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.086E+0	0E+0	9E+0	8.943E+0	8.955E+0	8.872E+0	NaN	NaN	7.8E+0	8.941E+0	-3.189599141E-2	8.954E+0	-1.1E-2
Control: Gate delay{Double Float}=0.000000	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.086E+0	0E+0	9E+0	8.943E+0	8.955E+0	8.872E+0	NaN	NaN	7.8E+0	8.941E+0	-3.189599141E-2	8.954E+0	-1.1E-2
Control: Monitor Update Timeout{Double Float}=0.010000	0E+0	7.395983378E-1	-1.3734E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.08E+0	0E+0	9E+0	8.943E+0	8.955E+0	8.872E+0	NaN	NaN	7.8E+0	8.941E+0	-3.189599141E-2	8.954E+0	-1.1E-2
Control: Motor Control Type{Enum U16 ((Leeds Arduion,Cryogenics MNVC))}=Leeds Arduion	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.08E+0	0E+0	9E+0	8.943E+0	8.955E+0	8.872E+0	NaN	NaN	7.8E+0	8.941E+0	-3.189599141E-2	8.954E+0	-1.1E-2
Control: Open T Window{Boolean}=False	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.616917344E-1	7.074E+0	0E+0	9E+0	8.943E+0	8.955E+0	8.872E+0	NaN	NaN	7.8E+0	8.941E+0	-3.189599141E-2	8.954E+0	-1.1E-2
