TDI Format 1.5	Offset	Absorption::R	Absorption::Theta	Absorption::X	Absorption::Y	iterator	multi[0]:iterator	multi[0]:y	multi[1]:iterator	multi[1]:y	multi[1]:Gate Readback std	multi[1]:Gate Readback
2nd Parameter Class{String}=Multi-Parameter	0E+0	4.214709969E-7	-3.18E+0	4.214709969E-7	-4.214709969E-8	1E+0	0E+0	4.5E+9	5E+1	-2.5E-1	1.070217259E-2	3.320415044E+0
2nd Parameter Class Path{Path}=..\\..\\..\\..\\..\\..\\..	0E+0	3.793246043E-7	1.1502E+2	-1.685883988E-7	3.371767975E-7	2E+0	0E+0	4.5E+9	5.1E+1	-2.5E-1	1.06721527E-2	3.320576541E+0
Absorption::R{Double Float}=2.950290E-7	0E+0	3.371767975E-7	1.72878E+2	-3.793246043E-7	4.214709969E-8	3E+0	0E+0	4.5E+9	5.2E+1	-2.4970006E-1	1.075223871E-2	3.320377426E+0
Absorption::Theta{Double Float}=-81.252000	0E+0	2.107362056E-7	6.342E+0	2.107362056E-7	0E+0	4E+0	0E+0	4.5E+9	5.3E+1	-2.4940012E-1	1.069705803E-2	3.319953252E+0
Absorption::X{Double Float}=4.214710E-8	0E+0	4.636173895E-7	4.5E+1	2.950289907E-7	2.950289907E-7	5E+0	0E+0	4.5E+9	5.4E+1	-2.4910018E-1	1.073673313E-2	3.320222414E+0
Absorption::Y{Double Float}=-3.371768E-7	0E+0	2.528825982E-7	6.5556E+1	8.429434081E-8	2.528825982E-7	6E+0	0E+0	4.5E+9	5.5E+1	-2.4880024E-1	1.040744629E-2	3.320113128E+0
Absorption:Option: 560 Coupling{Enum U16 ((ground,DC,AC))}=ground	0E+0	2.528825982E-7	-9.9462E+1	-8.429434081E-8	-2.950289907E-7	7E+0	0E+0	4.5E+9	5.6E+1	-2.485002999E-1	1.083919081E-2	3.320252574E+0
Absorption:Option: 560 Enabled{Boolean}=False	0E+0	2.528825982E-7	-7.4748E+1	4.214709969E-8	-2.950289907E-7	8E+0	0E+0	4.5E+9	5.7E+1	-2.482003599E-1	1.067908006E-2	3.320425745E+0
Absorption:Option: 560 Gain{Enum U16 ((1,2,5,10,20,50,100,200,500,1000,2000,5000,10000,20000,50000))}=1	0E+0	3.793246043E-7	-4.5E+1	2.528825982E-7	-2.950289907E-7	9E+0	0E+0	4.5E+9	5.8E+1	-2.479004199E-1	1.084874379E-2	3.320594702E+0
Absorption:Option: 560 Input Source{Enum U16 ((A,A-B,B))}=A	0E+0	5.479115889E-7	1.6926E+1	5.057651963E-7	1.264411577E-7	1E+1	0E+0	4.5E+9	5.9E+1	-2.476004799E-1	1.078016079E-2	3.320364454E+0
Absorption:Option: Lockin Type{Enum U16 ((SRS 830,EG&G 5302))}=SRS 830	0E+0	3.793246043E-7	3.0966E+1	3.371767975E-7	2.107362056E-7	1.1E+1	0E+0	4.5E+9	6E+1	-2.473005399E-1	1.102472969E-2	3.320691665E+0
Absorption:Option: SR803 Full Scale Reading{Double Float}=0.000000	0E+0	2.528825982E-7	6.5556E+1	8.429434081E-8	2.528825982E-7	1.2E+1	0E+0	4.5E+9	6.1E+1	-2.470005999E-1	1.088235918E-2	3.320338187E+0
Absorption:Option: SR830  Ref Phase{Double Float}=0.000000	0E+0	3.793246043E-7	3.0966E+1	3.371767975E-7	2.107362056E-7	1.3E+1	0E+0	4.5E+9	6.2E+1	-2.467006599E-1	1.07444579E-2	3.320499035E+0
Absorption:Option: SR830  Synch Filter{Boolean}=False	0E+0	1.264411577E-7	-1.35E+2	-1.264411577E-7	-1.264411577E-7	1.4E+1	0E+0	4.5E+9	6.3E+1	-2.464007199E-1	1.077868883E-2	3.320303487E+0
Absorption:Option: SR830  Time Constant{I16}=9	0E+0	2.107362056E-7	-1.35E+2	-1.685883988E-7	-1.685883988E-7	1.5E+1	0E+0	4.5E+9	6.4E+1	-2.461007798E-1	1.071242402E-2	3.320424448E+0
Absorption:Option: SR830 2x Line Filter{Boolean}=True	0E+0	2.528825982E-7	-4.1184E+1	1.685883988E-7	-1.685883988E-7	1.6E+1	0E+0	4.5E+9	6.5E+1	-2.458008398E-1	1.087713891E-2	3.320582703E+0
Absorption:Option: SR830 Adjust Gains{Boolean}=False	0E+0	5.057651963E-7	-5.196E+0	5.057651963E-7	-8.429434081E-8	1.7E+1	0E+0	4.5E+9	6.6E+1	-2.455008998E-1	1.088284933E-2	3.320461093E+0
Absorption:Option: SR830 Auto Offset 1{Boolean}=False	0E+0	3.371767975E-7	3.816E+0	3.371767975E-7	0E+0	1.8E+1	0E+0	4.5E+9	6.7E+1	-2.452009598E-1	1.073582608E-2	3.320486712E+0
Absorption:Option: SR830 Auto Offset 2{Boolean}=False	0E+0	0E+0	0E+0	0E+0	0E+0	1.9E+1	0E+0	4.5E+9	6.8E+1	-2.449010198E-1	1.100649575E-2	3.320534059E+0
Absorption:Option: SR830 Autophase{Boolean}=False	0E+0	2.950289907E-7	1.5738E+2	-2.950289907E-7	8.429434081E-8	2E+1	0E+0	4.5E+9	6.9E+1	-2.446010798E-1	1.095415127E-2	3.320727337E+0
Absorption:Option: SR830 DC Coupling?{Boolean}=False	0E+0	5.057651963E-7	1.64052E+2	-5.057651963E-7	1.264411577E-7	2.1E+1	0E+0	4.5E+9	7E+1	-2.443011398E-1	1.090498274E-2	3.320618051E+0
Absorption:Option: SR830 Display 1{U16}=0	0E+0	5.057651963E-7	-1.64052E+2	-5.057651963E-7	-1.685883988E-7	2.2E+1	0E+0	4.5E+9	7.1E+1	-2.440011998E-1	1.058410104E-2	3.320380669E+0
Absorption:Option: SR830 Display 2{U16}=0	0E+0	2.107362056E-7	-1.59444E+2	-2.107362056E-7	-8.429434081E-8	2.3E+1	0E+0	4.5E+9	7.2E+1	-2.437012597E-1	1.072708483E-2	3.320409531E+0
Absorption:Option: SR830 Dynamic Reserve{I16}=2	0E+0	1.264411577E-7	-1.35E+2	-1.264411577E-7	-1.264411577E-7	2.4E+1	0E+0	4.5E+9	7.3E+1	-2.434013197E-1	1.061704175E-2	3.320303487E+0
Absorption:Option: SR830 Expand 1{Enum U16 ((None,10x,100x))}=None	0E+0	2.107362056E-7	1.59444E+2	-2.107362056E-7	4.214709969E-8	2.5E+1	0E+0	4.5E+9	7.4E+1	-2.431013797E-1	1.079193684E-2	3.320366724E+0
