# Dataset "10K_dd_0s" exported from GenX on Fri Sep 20 15:59:06 2019
# Column lables:
# x	I_simulated	I	error(I)
8.080488224589978813e-03 2.382036300750691449e-01 2.196916932630130770e-01 7.897064460210588902e-03
8.242097989081778597e-03 2.382036300750691449e-01 2.182224760067945357e-01 7.399530297592106856e-03
8.406939948863413614e-03 2.382036300750692004e-01 2.343333768291892272e-01 7.355466475795249294e-03
8.575078747840681609e-03 2.382036300750691449e-01 2.169245361048621756e-01 6.675537130904463101e-03
8.746580322797493923e-03 2.382036300750626501e-01 2.295441768749469091e-01 6.512796869216682522e-03
8.921511929253445050e-03 2.382036300731815714e-01 2.351400267898651197e-01 6.291599038327290276e-03
9.099942167838513674e-03 2.382036299388196054e-01 2.436488309583888234e-01 6.137346949591511447e-03
9.281941011195282698e-03 2.382036295832812844e-01 2.374517579788489596e-01 5.746252691610698703e-03
9.467579831419190711e-03 2.382036140524186607e-01 2.306178771562836516e-01 5.323242155684426886e-03
9.656931428047573623e-03 2.382034726470418362e-01 2.355850087990521147e-01 5.161779326039710007e-03
9.850070056608525859e-03 2.382031760455818048e-01 2.401750687367502635e-01 4.937441447297256404e-03
1.004707145774069547e-02 2.382014618691631613e-01 2.330757096127365480e-01 4.663155461878726663e-03
1.024801288689550921e-02 2.381980011423546206e-01 2.370150906363724663e-01 4.469901012806801709e-03
1.045297314463342064e-02 2.381909860832063242e-01 2.507386977524329041e-01 4.387517165274471692e-03
1.066203260752608857e-02 2.381769775011101653e-01 2.394492181660510810e-01 4.113323162817485515e-03
1.087527325967661135e-02 2.381487395873413127e-01 2.437938688297663914e-01 3.954233186640222081e-03
1.109277872487014240e-02 2.380856725406658159e-01 2.383968339048539165e-01 3.756659674773372461e-03
1.131463429936754514e-02 2.379265625899182890e-01 2.445348620619980373e-01 3.621179717185452496e-03
1.154092698535489660e-02 2.374560641097646640e-01 2.372989662195998106e-01 3.413295997080945804e-03
1.177174552506199401e-02 2.359843695977045241e-01 2.305237038470511202e-01 3.215750995504116500e-03
1.200718043556323403e-02 2.312166921037577816e-01 2.354427754807690842e-01 3.122686947340007173e-03
1.224732404427449940e-02 2.217367389501076480e-01 2.251284192998742051e-01 2.909474244683369053e-03
1.249227052515998818e-02 2.031783892681953418e-01 2.007670161392253461e-01 2.636295594684356317e-03
1.274211593566318759e-02 1.853934390993127734e-01 1.821221796539695958e-01 2.394135345275028980e-03
1.299695825437645162e-02 1.755239995063552494e-01 1.736662729208477141e-01 2.242716118211121948e-03
1.325689741946398104e-02 1.691340484926757981e-01 1.705131293995526820e-01 2.133744843708488409e-03
1.352203536785325996e-02 1.685935031382873595e-01 1.693555783796029945e-01 2.049790760483087212e-03
1.379247607521032551e-02 1.576549958023066300e-01 1.598553693967324218e-01 1.911055283861734511e-03
1.406832559671453153e-02 1.378307760685104355e-01 1.359444119013735741e-01 1.677653492609477602e-03
1.434969210864882327e-02 1.114813307494273431e-01 1.077950081463780047e-01 1.436561231131774355e-03
1.463668595082179974e-02 8.734642642864486051e-02 8.318702900744361084e-02 1.211478618244790422e-03
1.492941966983823629e-02 7.365398577292271709e-02 7.298416167762120099e-02 1.091544395953627806e-03
1.522800806323500004e-02 7.172319891640882572e-02 7.173918458723410607e-02 1.044129290472121593e-03
1.553256822449970015e-02 7.632344107219220242e-02 7.890252132476732738e-02 1.059072338951393090e-03
1.584321958898969596e-02 8.007775208881287576e-02 8.375969985856263067e-02 1.059485759240233168e-03
1.616008398076948863e-02 7.803576701539612082e-02 8.117434054230346363e-02 1.025087495662368835e-03
1.648328566038487902e-02 6.919832364087062648e-02 7.099134877752302786e-02 9.301500739263453277e-04
1.681295137359257660e-02 5.560464594114446907e-02 5.700936510055298889e-02 8.194791638845273871e-04
1.714921040106442973e-02 4.102662371087990173e-02 4.018545106203304240e-02 6.634061946761054878e-04
1.749219460908571500e-02 2.927730244119663983e-02 2.872080913688293199e-02 5.300687909361186502e-04
1.784203850126743138e-02 2.248713364149658792e-02 2.119633241592934134e-02 4.373852414530995806e-04
1.819887927129278105e-02 2.024890187366532729e-02 2.080417128631766033e-02 4.253876414523978153e-04
1.856285685671863611e-02 2.030965662188500068e-02 2.078660844704530858e-02 4.253100396536744197e-04
1.893411399385300925e-02 2.013662824564373122e-02 2.009843331598376581e-02 4.118649188229667256e-04
1.931279627373007346e-02 1.827427041313714473e-02 1.879018386172682034e-02 3.895801265604232678e-04
1.969905219920467521e-02 1.480576258770313972e-02 1.480307239521083326e-02 3.370605248932915122e-04
2.009303324318876399e-02 1.094764383999679257e-02 1.070076554696704207e-02 2.837370758451602821e-04
2.049489390805253955e-02 8.168866219690502223e-03 8.195479092813377081e-03 2.422151268858053542e-04
2.090479178621358972e-02 7.315776435534980873e-03 7.186327030880013123e-03 2.240322704586490059e-04
2.132288762193786102e-02 8.193562517534707518e-03 7.884728694096490922e-03 2.369267098243300798e-04
2.174934537437661630e-02 9.791275285363424188e-03 1.002476779349231219e-02 2.710740904038774182e-04
2.218433228186415113e-02 1.092831364559934161e-02 1.095815945026825874e-02 2.680383095071626402e-04
2.262801892750143651e-02 1.088932763885013845e-02 1.110687549944336383e-02 2.641256718905157005e-04
2.308057930605146579e-02 9.710331173599309404e-03 9.526926937284347155e-03 2.431199417391242111e-04
2.354219089217249317e-02 8.029119253978334383e-03 7.992414919475903171e-03 2.169094188510185047e-04
2.401303471001594442e-02 6.639602379626659626e-03 6.352159976931368718e-03 1.905801330662544482e-04
2.449329540421626289e-02 6.018031839534234741e-03 5.958514940694004287e-03 1.799887207059561081e-04
2.498316131230058496e-02 6.090310621971599912e-03 5.936998405439150757e-03 1.749420430871248848e-04
2.548282453854659735e-02 6.356035624941764467e-03 6.392332790929029437e-03 1.326627053547851573e-04
2.599248102931752541e-02 6.253499479620371233e-03 6.424885721912285998e-03 1.281853607759701134e-04
2.651233064990387786e-02 5.512163985093948733e-03 5.513329601784130313e-03 1.154182894318452290e-04
