 1482         	               26.99041     	               5            	               8192         	               1482         	               1            	               117 
Header:       	              iwavelength   	              Frequency     	              NumberOfCycles              	              Record Length 	              PointsPerCycle              	              BWReduction   	              Averages
Time(s)       	              X Field(A/m)  	              Y Field (A/m) 	              Kerr (V)      	              Ref (V)       	              Processed
-0.1023875    	               866.8239     	              -0.4515023    	              -2.742419     	              -3.146667E-04               	              -2.64717 
-0.1023625    	               868.9235     	              -0.4498317    	              -2.742426     	              -3.146667E-04               	              -2.647177 
-0.1023375    	               871.0085     	              -0.4481612    	              -2.742317     	              -3.146667E-04               	              -2.647068 
-0.1023125    	               873.0793     	              -0.4464425    	              -2.742297     	              -3.095209E-04               	              -2.693652 
-0.1022875    	               875.1357     	              -0.4447719    	              -2.742276     	              -3.146667E-04               	              -2.647027 
-0.1022625    	               877.1784     	              -0.4430532    	              -2.74227      	              -3.249583E-04               	              -2.553813 
-0.1022375    	               879.2071     	              -0.4412623    	              -2.742323     	              -3.120938E-04               	              -2.670376 
-0.1022125    	               881.2217     	              -0.4394714    	              -2.742317     	              -3.120938E-04               	              -2.67037 
-0.1021875    	               883.2222     	              -0.4377045    	              -2.742328     	              -3.146667E-04               	              -2.647079 
-0.1021625    	               885.2089     	              -0.4358654    	              -2.742324     	              -3.120938E-04               	              -2.670377 
-0.1021375    	               887.1815     	              -0.4339781    	              -2.742327     	              -3.095208E-04               	              -2.693682 
-0.1021125    	               889.1398     	              -0.4320668    	              -2.742253     	              -3.120938E-04               	              -2.670306 
-0.1020875    	               891.0837     	              -0.4301314    	              -2.742251     	              -3.120938E-04               	              -2.670304 
-0.1020625    	               893.0129     	              -0.4281719    	              -2.742208     	              -3.172396E-04               	              -2.623657 
-0.1020375    	               894.928      	              -0.4262365    	              -2.742239     	              -3.120938E-04               	              -2.670292 
-0.1020125    	               896.8286     	              -0.4242288    	              -2.742224     	              -3.223853E-04               	              -2.57707 
-0.1019875    	               898.7142     	              -0.4221971    	              -2.742206     	              -3.172396E-04               	              -2.623655 
-0.1019625    	               900.5848     	              -0.4201172    	              -2.742149     	              -3.146667E-04               	              -2.6469 
-0.1019375    	               902.4404     	              -0.4180855    	              -2.742155     	              -3.120938E-04               	              -2.670208 
-0.1019125    	               904.2809     	              -0.4160297    	              -2.742153     	              -3.120938E-04               	              -2.670206 
-0.1018875    	               906.1064     	              -0.4139739    	              -2.742148     	              -3.018022E-04               	              -2.763408 
-0.1018625    	               907.9167     	              -0.4119422    	              -2.742146     	              -2.940835E-04               	              -2.833311 
-0.1018375    	               909.7121     	              -0.4098382    	              -2.742183     	              -2.966564E-04               	              -2.810047 
-0.1018125    	               911.4927     	              -0.4077101    	              -2.742115     	              -3.04375E-04  	              -2.740074 
-0.1017875    	               913.2584     	              -0.4055821    	              -2.742126     	              -3.120938E-04               	              -2.670179 
-0.1017625    	               915.0097     	              -0.4034541    	              -2.742169     	              -3.095209E-04               	              -2.693524 
-0.1017375    	               916.7465     	              -0.401302     	              -2.74212      	              -3.06948E-04  	              -2.716777 
-0.1017125    	               918.4689     	              -0.3991017    	              -2.74206      	              -2.992293E-04               	              -2.786623 
-0.1016875    	               920.1768     	              -0.3968773    	              -2.742091     	              -3.120938E-04               	              -2.670144 
-0.1016625    	               921.8698     	              -0.3946529    	              -2.742019     	              -3.198124E-04               	              -2.600167 
-0.1016375    	               923.5476     	              -0.3924767    	              -2.742005     	              -3.146667E-04               	              -2.646756 
-0.1016125    	               925.2106     	              -0.3902042    	              -2.742004     	              -3.146667E-04               	              -2.646755 
-0.1015875    	               926.859      	              -0.3879317    	              -2.741979     	              -3.172396E-04               	              -2.623428 
-0.1015625    	               928.4924     	              -0.3856833    	              -2.742026     	              -3.275312E-04               	              -2.530268 
-0.1015375    	               930.1108     	              -0.3834108    	              -2.742031     	              -3.198125E-04               	              -2.600178 
-0.1015125    	               931.7142     	              -0.3811382    	              -2.741973     	              -3.146667E-04               	              -2.646724 
