TDI Format=Text 1.0	VA1	CS1	VA2	CS2
3 tab dialog=��\00�	1.543008E-4	-1.052856E+0	-5.950928E-3	3.814697E-2
3t control channel=0	1.543008E-4	-1.083374E+0	-5.798340E-3	3.967285E-2
3t device=0	1.712891E-6	-1.083374E+0	-5.645752E-3	3.814697E-2
3t measure channel=2	1.712891E-6	-1.083374E+0	-5.798340E-3	3.967285E-2
3t ramp step=0.01	-1.508750E-4	-1.068115E+0	-5.645752E-3	3.814697E-2
3t scale factor=10	6.120644E-4	-1.052856E+0	-5.798340E-3	3.814697E-2
3t update rate=1000	1.712891E-6	-1.083374E+0	-5.493164E-3	3.967285E-2
6625 current dir=3	7.646523E-4	-1.052856E+0	-5.645752E-3	3.814697E-2
6625 current range=True	1.543008E-4	-1.083374E+0	-5.493164E-3	3.967285E-2
6625 delay time=0.02	3.068887E-4	-1.052856E+0	-5.645752E-3	3.967285E-2
6625 output selection=0	3.068887E-4	-1.052856E+0	-5.340576E-3	4.119873E-2
6625 overcurrent=False	1.543008E-4	-1.083374E+0	-5.493164E-3	3.967285E-2
6625 ovp trip point=55	-1.508750E-4	-1.052856E+0	-5.493164E-3	3.967285E-2
6625 ramp step=5	-3.034629E-4	-1.068115E+0	-5.340576E-3	4.119873E-2
6625 reset=False	-4.560508E-4	-1.037598E+0	-5.645752E-3	3.967285E-2
6625 voltage range=True	1.543008E-4	-1.037598E+0	-5.493164E-3	4.119873E-2
acquiring methods=\00\00\00\00	-1.508750E-4	-1.022339E+0	-5.645752E-3	3.967285E-2
acquisition routine=switch-gen-acq-feedback.vi	-3.034629E-4	-1.007080E+0	-5.645752E-3	4.119873E-2
active methods=\00\00\00\04\00\00\00\15method::manual::scope\00\00\00\11Method::iv::scope\00\00\00\15Method::manual::scope\00\00\00\10Method::iv::temp	-6.086387E-4	-9.765625E-1	-5.950928E-3	3.967285E-2
additional config files=\00\00\00\00	3.068887E-4	-9.765625E-1	-5.798340E-3	4.119873E-2
autofilename=True	1.543008E-4	-9.613037E-1	-5.798340E-3	3.967285E-2
