TDI Format 1.5	x	y	e
Stoner.class{String}=\'HGXFile\'	0.0178023	14200000.0	3772.98
config{String}=\'[data plot]\\nautoscale = False\\nzoom = False\\ny scale = log\\nx scale = linear\\n\\n[parameter grid]\\nvalue slider = False\\nauto sim = True\\n\\n[plugins]\\nloaded plugins = Reflectivity\\n\\n[fom plot]\\ny scale = linear\\nx scale = linear\\nautoscale = True\\n\\n[pars plot]\\ny scale = linear\\nx scale = linear\\nautoscale = True\\n\\n[fom scan plot]\\ny scale = linear\\nx scale = linear\\nautoscale = True\\n\\n[solver]\\nkm = 0.7\\nkr = 0.6\\npop mult = 6\\npop size = 50\\nmax generations = 500\\nmax generation mult = 6\\nsleep time = 0.5\\nmax log elements = 100000\\nerrorbar level = 1.2\\nautosave interval = 10\\nparallel processes = 5\\nparallel chunksize = 1\\nallowed fom discrepancy = 1e-10\\nuse pop mult = True\\nuse max generations = False\\nuse start guess = True\\nuse boundaries = True\\nuse parallel processing = True\\nuse autosave = False\\nsave all evals = False\\ncreate trial = best_1_bin\\n\\n\'	0.0185144	14600000.0	3817.5
fom_ignore_inf{String}=\'False\'	0.0192265	15100000.0	3884.39
fom_ignore_nan{String}=\'False\'	0.0199386	15700000.0	3956.97
fomfunction{String}=\'logR1\'	0.0206507	16200000.0	4021.18
optimizer.fom_evals{1D Array (Double Float)}=[]	0.0213628	16800000.0	4102.45
optimizer.fom_log{2D Array (Double Float)}=\'\'	0.0220748	17300000.0	4162.55
optimizer.km{Double Float}=0.7	0.0227869	17800000.0	4220.11
optimizer.kr{Double Float}=0.6	0.023499	18300000.0	4277.35
optimizer.max_generation_mult{Double Float}=6.0	0.0242111	18800000.0	4338.72
optimizer.max_generations{I32}=500	0.0249232	19400000.0	4406.88
optimizer.par_evals{2D Array (Double Float)}=[]	0.0256353	19900000.0	4458.52
optimizer.pf{Double Float}=0.5	0.0263474	20300000.0	4504.6
optimizer.pop_mult{Double Float}=6.0	0.0270595	20500000.0	4531.63
optimizer.pop_size{I32}=50	0.0277716	20500000.0	4522.42
optimizer.sleep_time{Double Float}=0.5	0.0284837	19800000.0	4447.7
optimizer.start_guess{1D Array (Double Float)}=\'\'	0.0291957	18400000.0	4293.55
optimizer.use_boundaries{String}=\'True\'	0.0299078	16900000.0	4112.97
optimizer.use_max_generations{String}=\'False\'	0.0306199	15500000.0	3941.21
optimizer.use_mpi{String}=\'False\'	0.031332	14900000.0	3856.84
optimizer.use_parallel_processing{String}=\'True\'	0.0320441	15600000.0	3948.85
optimizer.use_pop_mult{String}=\'True\'	0.0327562	17800000.0	4219.06
optimizer.use_start_guess{String}=\'True\'	0.0334683	20900000.0	4572.82
parameters.data col 0{1D Array (String)}=[\'inst.setI0inst.setIbkginst.setResinst.setSampleleninst.setBeamwAl.setDPytop.setDC60.setDFe20Ni80.setDCo60bot.setDTa.setDAl.setSigmaPytop.setSigmaC60.setSigmaFe20Ni80.setSigmaCo60bot.setSigmaTa.setSigmaSub.setSigmaAl.setDensPytop.setDensC60.setDensFe20Ni80.setDensCo60bot.setDensTa.setDensSub.setDens\']	0.0341804	23800000.0	4875.31
parameters.data col 1{1D Array (Double Float)}=\'\'	0.0348924	25800000.0	5083.94
parameters.data col 2{1D Array (String)}=\'\'	0.0356045	26600000.0	5154.47
parameters.data col 3{1D Array (Double Float)}=\'\'	0.0363166	26100000.0	5110.41
parameters.data col 4{1D Array (Double Float)}=\'\'	0.0370287	24600000.0	4954.8
parameters.data col 5{1D Array (String)}=[\'-----------------------------\']	0.0377408	21700000.0	4657.61
parameters.data_labels{1D Array (String)}=[\'ParameterValueFitMinMaxError\']	0.0384529	18100000.0	4253.07
