TDI Format 1.5	V	G	Fit
Barrier Parameter{Double Float}=0.449968875949	20.86327	0.98890084	1.00107370873
Chi^2{Double Float}=0.00343662039125	20.42216	0.989154622	1.00112140206
Energy Gap{Double Float}=1.4999999842	19.95814	0.990072269	1.0011751076
Smearing{Double Float}=0.975373606597	19.50288	0.990572269	1.00123166384
Spin Polarisation{Double Float}=0.361109489269	19.15488	0.989023529	1.00127771424
Stoner.class{String}=AnalyseFile	18.71812	0.988410924	1.00133928589
data_format.discard{I32}=0	17.99066	1.001308403	1.00145226996
data_format.filetype{String}=csv	17.50587	1.006751261	1.00153576267
data_format.header_line{I32}=1	17.146	1.007514286	1.00160252879
data_format.normal_conductance{Double Float}=0.0	16.78087	1.00584958	1.00167486341
data_format.separator{String}=,	16.30732	1.004705882	1.00177628276
data_format.start_line{I32}=2	15.86666	1.006510084	1.00187925566
data_format.v_limit{Double Float}=10.0	15.45423	1.008340336	1.0019840576
data_format.v_scale{I32}=1000	15.19468	1.006060504	1.00205462315
data_format.x-column{String}=V	14.73916	1.004237815	1.00218802285
data_format.y-column{String}=G	14.38338	1.003529412	1.00230158417
delta.fixed{I32}=0	13.95511	1.00187563	1.00245058076
delta.lower_limit{Double Float}=0.5	13.60737	1.00134958	1.00258263201
delta.lower_limited{I32}=1	13.11889	1.002781513	1.0027872419
delta.maxstep{Double Float}=0.0	12.77271	1.000007563	1.00294759857
delta.name{String}=Energy Gap	12.42666	0.999347899	1.00312240049
delta.print{I32}=1	11.97407	1.001372269	1.00337601127
delta.side{I32}=0	11.55372	1.001027731	1.00364093369
delta.step{Double Float}=0.0	11.17172	1.001184874	1.00391038469
delta.symbol{String}=\Delta	10.75403	1.000306723	1.00424169941
delta.tied{String}=None	10.36587	0.999439496	1.00459002449
delta.upper_limit{Double Float}=2.0	9.962783	0.997789916	1.0050008043
delta.upper_limited{I32}=1	9.536336	1.000710924	1.0055008827
delta.value{Double Float}=1.5	9.142138	1.00352605	1.00603608002
omega.fixed{I32}=0	8.7689	1.003747899	1.00662205379
omega.lower_limit{Double Float}=0.0	8.345632	1.004294118	1.00740279628
omega.lower_limited{I32}=1	7.923987	1.005127731	1.00833745913
omega.maxstep{Double Float}=0.0	7.573979	1.006038655	1.00926785832
omega.name{String}=Smearing	7.164143	1.007603361	1.01059478103
omega.print{I32}=1	6.737761	1.009419328	1.01235005941
omega.side{I32}=0	6.387947	1.011915126	1.01419275923
omega.step{Double Float}=0.0	5.940476	1.014539496	1.01731892804
omega.symbol{String}=\omega	5.547642	1.019110924	1.02108233856
omega.tied{String}=None	5.131058	1.023	1.0265373276
omega.upper_limit{Double Float}=0.0	4.804863	1.028460504	1.03215220839
omega.upper_limited{I32}=0	4.366152	1.038085714	1.0418513068
omega.value{Double Float}=0.55	3.975069	1.049565546	1.05247580031
p.fixed{I32}=0	3.652509	1.059147899	1.06214016267
p.lower_limit{Double Float}=0.0	3.270575	1.065590756	1.07342529152
p.lower_limited{I32}=1	2.862751	1.076873109	1.08307453994
p.maxstep{Double Float}=0.0	2.525331	1.086423529	1.0871685102
p.name{String}=Spin Polarisation	2.110953	1.089285714	1.08523141193
p.print{I32}=1	1.721752	1.085131092	1.07569166668
p.side{I32}=0	1.352083	1.073954622	1.06094692491
p.step{Double Float}=0.0	1.011808	1.054878151	1.04508299264
p.symbol{String}=P	0.6109266	1.034293277	1.02807424856
p.tied{String}=None	0.2050492	1.021310084	1.01772884614
p.upper_limit{Double Float}=1.0	-0.1715636	1.016263025	1.01731035507
p.upper_limited{I32}=1	-0.557066	1.018687395	1.02620234259
p.value{Double Float}=0.2	-0.9637221	1.029932773	1.04285163965
prefs.chi2_mapping{I32}=0	-1.359088	1.048473109	1.06126135056
prefs.fancy_normaliser{I32}=0	-1.70384	1.066821849	1.07508631078
prefs.normalise{I32}=0	-2.104332	1.082170588	1.08513098976
prefs.print_each_step{I32}=1	-2.453172	1.088494118	1.08742794546
prefs.remove_offset{I32}=0	-2.866317	1.087992437	1.08300900106
prefs.rescale_v{I32}=0	-3.262591	1.079394958	1.07364663266
prefs.save_fit{I32}=1	-3.592224	1.071212605	1.06397208983
prefs.show_plot{I32}=1	-3.963971	1.061002521	1.05279901183
z.fixed{I32}=0	-4.398334	1.049201681	1.04105488949
z.lower_limit{Double Float}=0.0	-4.792986	1.040208403	1.03238165612
z.lower_limited{I32}=1	-5.14812	1.032411765	1.02627844028
z.maxstep{Double Float}=0.0	-5.557307	1.02517479	1.02097537389
