[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3636630659.7765,03/27/2015,3:09 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.15 Build 40, MultiVu Release 2.1.0.6,APPNAME
INFO,0,MOMENT_UNITS
INFO,Er,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,67.06,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal" (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err.(deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr(emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr(emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err,DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3636631733.368,1.99957114458084,0.175663441419601,-5.79088111144718E-6,6.60409009722166E-9,1,4,13.0063810348511,5.00360974703688,30.7299997657537,-0.00707669602650564,-0.00106764064980094,1,-2.35968186357986E-9,,,,,,,,,,,,,,,,,,,,,1.99953293800354,1.99960935115814,0.175663441419601,0.175663441419601,49.8049784311303,5.29604006759806,1.84285521507263,52,1,0,0,1,0.2734375,30.3030319213867,1,1,1,1.99960935115814,0,,1.99957114458084,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636631749.547,2.00017035007477,499.737396240234,1.73454721435466E-5,1.36442389350141E-8,1,4,13.0063810348511,5.00352613572861,30.7299997657537,0.021201102984962,0.00316650498620547,1,-1.85708338270616E-8,,,,,,,,,,,,,,,,,,,,,2.00014233589172,2.00019836425781,499.737396240234,499.737396240234,49.611134558361,5.2970103270227,1.83613908290863,52,1,0,0,1,0.273590087890625,30.7917900085449,1,1,1,2.00014233589172,0,,2.00017035007477,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636631764.176,2.00027871131897,999.939025878906,4.83408285583875E-5,2.48845870065114E-8,1,4,13.0063810348511,5.00294182356271,30.7299997657537,0.0590744990111048,0.00883745346509298,1,-4.02762571319027E-8,,,,,,,,,,,,,,,,,,,,,2.00006294250488,2.00049448013306,999.939025878906,999.939025878906,49.7377583784764,5.29901178659149,1.83456563949585,52,1,0,0,1,0.271453857421875,30.7917900085449,1,1,1,2.00049448013306,0,,2.00027871131897,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636631780.242,1.99976980686188,1499.80187988281,8.97568474312067E-5,3.50930327665959E-8,1,4,13.0063810348511,5.00291337962071,30.7299997657537,0.109684517915001,0.0164168164515654,1,-6.8233603788144E-8,,,,,,,,,,,,,,,,,,,,,1.99931168556213,2.00022792816162,1499.80187988281,1499.80187988281,49.8081049452072,5.29928399975549,1.83196175098419,52,1,0,0,1,0.276412963867187,31.2805480957031,1,1,1,1.99931168556213,0,,1.99976980686188,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636631794.867,2.00007438659668,2000.21691894531,0.00013823551191159,5.37972576189016E-8,1,4,13.0063810348511,5.00259999302383,30.7299997657537,0.168918888062031,0.0252327561779468,1,-1.44989527938597E-7,,,,,,,,,,,,,,,,,,,,,1.99989342689514,2.00025534629822,2000.21691894531,2000.21691894531,49.7291604647649,5.30061960495818,1.83984541893005,52,1,0,0,1,0.272293090820313,31.2805480957031,1,1,1,1.99989342689514,0,,2.00007438659668,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636631809.552,1.9999116063118,2499.6533203125,0.000193626331885596,7.06915292504318E-8,1,4,13.0063810348511,5.00253004205171,30.7299997657537,0.236596216742322,0.0353671604967673,1,-1.83150709539031E-7,,,,,,,,,,,,,,,,,,,,,1.9996954202652,2.0001277923584,2499.6533203125,2499.6533203125,49.8761066263803,5.29961033792896,1.83832180500031,52,1,0,0,1,0.274124145507813,31.2805480957031,1,1,1,1.9996954202652,0,,1.9999116063118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636631824.280,2.00039708614349,2999.90502929687,0.000255375041233725,8.55863487921786E-8,1,4,13.0063810348511,5.00244877447612,30.7299997657537,0.312038414503041,0.0466635817207909,1,-2.26285016347377E-7,,,,,,,,,,,,,,,,,,,,,2.00039386749268,2.00040030479431,2999.90502929687,2999.90502929687,49.7647245623899,5.30069219386753,1.83567202091217,52,1,0,0,1,0.267791748046875,31.2805480957031,1,1,1,2.00039386749268,0,,2.00039708614349,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636631839.188,2.00016313791275,3500.00610351562,0.000321539920880029,9.93193569780575E-8,1,4,13.0063810348511,5.00231040301365,30.7299997657537,0.392862973917405,0.058791191001595,1,-2.52288552452781E-7,,,,,,,,,,,,,,,,,,,,,1.99995052814484,2.00037574768066,3500.00610351562,3500.00610351562,49.5517307908995,5.30075456279358,1.83593738079071,52,1,0,0,1,0.27191162109375,31.2805480957031,1,1,1,2.00037574768066,0,,2.00016313791275,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636631853.756,1.99985039234161,3999.91943359375,0.000389106307035863,9.36420432343763E-8,1,4,13.0063810348511,5.00231025683068,30.7299997657537,0.475402918401501,0.0712369398180648,1,-2.3021005744025E-7,,,,,,,,,,,,,,,,,,,,,1.99959993362427,2.00010085105896,3999.91943359375,3999.91943359375,49.7475287349668,5.30061827667089,1.83345544338226,52,1,0,0,1,0.276107788085938,31.2805480957031,1,1,1,1.99959993362427,0,,1.99985039234161,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636631868.435,2.00010132789612,4500.1962890625,0.000459760843595198,1.14384687947985E-7,1,4,13.0063810348511,5.00209909980915,30.7299997657537,0.561684289042986,0.0842331616485522,1,-2.18090542099958E-7,,,,,,,,,,,,,,,,,,,,,2.000004529953,2.00019812583923,4500.1962890625,4500.1962890625,49.7490919920053,5.30174535404867,1.8349004983902,52,1,0,0,1,0.26824951171875,31.2805480957031,1,1,1,2.00019812583923,0,,2.00010132789612,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
