[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,28214732.41,11/22/2016,2:28 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.6 Build 0,APPNAME
INFO,381,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,15.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,35.79,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,28214785.27,300.0066833,499.903472900391,0.253376820142176,2.2051223759493E-5,1,0.999253354069792,40.0298881530762,2.00967022881211,7.53999646753073,2.81069308371912,0.48862617107288,2.5,-0.000205283451456644,0.25336933665653,-3.72633687134064E-5,300.0066833,300.0066833,499.903472900391,499.903472900391,55.1735939154674,19.5657856962453,26.1347828,1,0,0,4369,300.34875,499.903472900391,,,,,,,,,,,,,,,,,52.959648,,,,,,300.0066833,,,,
,28214788.46,300.0065002,499.903472900391,0.320180000867233,2.76570179549795E-5,1,0.999253354069792,40.0298881530762,2.00966384245073,7.53999646753073,3.55338616202881,0.615675536219691,25,-0.00043998501822946,0.320170666377638,-0.000227660926117128,300.0065002,300.0065002,499.903472900391,499.903472900391,55.4112089853136,19.5674248484533,25.7489567,0,0,0,4369,300.34895,499.903472900391,,,,,,,,,,,,,,,,,54.480885,,,,,,300.0065002,,,,
,28214788.845,300.00619505,499.903472900391,0.320195049081446,2.36774151077753E-5,1,0.999253354069792,40.0298881530762,2.00962122064617,7.53999646753073,3.55345593152495,0.615826348414723,25,-0.00042787008630961,0.320185709881826,-0.000215536256830215,300.0058899,300.0065002,499.903472900391,499.903472900391,55.3056891352174,19.567375233489,25.7489567,0,0,0,4369,300.3488,499.903472900391,,,,,,,,,,,,,,,,,54.100574,,,,,,300.00619505,,,,
,28214789.625,300.0062866,499.903472900391,0.32017528845217,3.24106183661502E-5,1,0.999253354069792,40.0298881530762,2.00964766964681,7.53999646753073,3.55331577928368,0.615605109944298,25,-0.00044507327391049,0.32016596007316,-0.000232751527049018,300.0058899,300.0066833,499.903472900391,499.903472900391,55.2752056229674,19.5658231163979,26.26596545,0,0,0,4369,300.3482,499.903472900391,,,,,,,,,,,,,,,,,52.579338,,,,,,300.0062866,,,,
,28214790.585,300.007019,499.903472900391,0.320175411805704,3.1676267626704E-5,1,0.999253354069792,40.0298881530762,2.00961787710021,7.53999646753073,3.55326801321,0.615581974484977,25,-0.000446373138393248,0.320166075222321,-0.000234051557319026,300.0066833,300.0073547,499.903472900391,499.903472900391,55.3432073041405,19.5670664459877,26.3971481,0,0,0,4369,300.34855,499.903472900391,,,,,,,,,,,,,,,,,54.480885,,,,,,300.007019,,,,
,28214791.585,300.0071106,499.903472900391,0.320184554701715,3.43425114021627E-5,1,0.999253354069792,40.0298881530762,2.00963676476466,7.54999607801437,3.55341722431606,0.615518932491991,25,-0.000454161613367621,0.3201752219268,-0.00024183436297685,300.0068665,300.0073547,499.903472900391,499.903472900391,55.2079855703135,19.5676884295071,26.52967355,0,0,0,4369,300.3493,499.903472900391,,,,,,,,,,,,,,,,,54.100574,,,,,,300.0071106,,,,
,28214792.53,300.00717165,499.903472900391,0.320170459627679,2.92486254437307E-5,1,0.999253354069792,40.0298881530762,2.00963761442649,7.53999646753073,3.55324557489299,0.615587602658451,25,-0.000445532679733308,0.320161120842058,-0.000233215537614673,300.0068665,300.0074768,499.903472900391,499.903472900391,55.3901050152943,19.5673912564233,26.0126648,0,0,0,4369,300.3499,499.903472900391,,,,,,,,,,,,,,,,,54.480885,,,,,,300.00717165,,,,
,28214793.515,300.00720215,499.903472900391,0.320173582320391,1.41886904739698E-5,1,0.999253354069792,40.0298881530762,2.00963761442649,7.53999646753073,3.55329369370255,0.61551650756582,25,-0.000452485896490153,0.320164247661826,-0.000240166348517403,300.0069275,300.0074768,499.903472900391,499.903472900391,55.4401292405251,19.5673912564233,25.88013935,0,0,0,4369,300.34975,499.903472900391,,,,,,,,,,,,,,,,,52.959648,,,,,,300.00720215,,,,
,28214794.515,300.00704955,499.903472900391,0.320180822405564,3.31187471883931E-5,1,0.999253354069792,40.0298881530762,2.00954522595826,7.53999646753073,3.55321545766694,0.615495469428178,25,-0.000453152153471854,0.320171489764303,-0.000240826654696744,300.0069275,300.0071716,499.903472900391,499.903472900391,55.494061608352,19.5694385797507,26.3971481,0,0,0,4369,300.3484,499.903472900391,,,,,,,,,,,,,,,,,54.480885,,,,,,300.00704955,,,,
,28214795.51,300.00718685,499.903472900391,0.320163930795425,2.37741492410398E-5,1,0.999253354069792,40.0298881530762,2.00954522595826,7.53999646753073,3.55301601290027,0.615531526956924,25,-0.000446950820959208,0.320154592887404,-0.000234637169214499,300.0071716,300.0072021,499.903472900391,499.903472900391,55.3033442496597,19.5694385797507,26.3971481,0,0,0,4369,300.34895,499.903472900391,,,,,,,,,,,,,,,,,54.100574,,,,,,300.00718685,,,,
,28214796.525,300.006958,499.903472900391,0.320174577052933,2.73118440401501E-5,1,0.999253354069792,40.0298881530762,2.00948109598983,7.53999646753073,3.55303328989834,0.61547511725392,25,-0.000452162363118242,0.320165245149914,-0.000239841832354254,300.0067139,300.0072021,499.903472900391,499.903472900391,55.3228849626405,19.5706675729942,25.88013935,0,0,0,4369,300.34935,499.903472900391,,,,,,,,,,,,,,,,,52.579338,,,,,,300.006958,,,,
