[Header]
; SQUID VSM Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3540392668.062,03/08/2012,6:24 pm
BYAPP,SQUID AC,0.9.1.0
INFO,SQUID VSM Measurement Release 1.1.7 Build 37,APPNAME
INFO,0,MOMENT_UNITS
INFO,FeNi,SAMPLE_MATERIAL
INFO,Penrose lattice,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,65.55,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal" (V),Range,M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err.(deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3540392694.757,300.170120239258,-0.0127035938203335,-5.83112565852534E-6,9.94637144860301E-9,1,1,13.9012460708618,7.97201451426939,32.5399996340275,-0.0116221944583298,-0.00174627571742401,1,1.86306659786261E-8,-5.83112565852534E-6,1.86306659786261E-8,,,,,,,,,,,,,,,,,,,,,300.169342041016,300.1708984375,-0.0127035938203335,-0.0127035938203335,52.3624669460536,5.67370149219273,6.65090703964233,14,1,0,0,0,0.499343872070313,30.3030319213867,1,1,1,300.1708984375,0,,,,,,,,,,,,,,,,
,3540392701.781,300.206069946289,0.990880310535431,-5.83640043200129E-6,8.83351337362955E-9,1,1,13.9012460708618,7.98177851860339,32.5399996340275,-0.0116426668035338,-0.00173736144725251,1,2.45264588785665E-8,-5.83640043200129E-6,2.45264588785665E-8,,,,,,,,,,,,,,,,,,,,,300.199951171875,300.212188720703,0.990880310535431,0.990880310535431,52.3601220604959,5.67429999557765,6.6647686958313,14,1,0,0,0,0.500564575195313,30.7917900085449,1,1,1,300.212188720703,0,,,,,,,,,,,,,,,,
,3540392708.883,300.265747070313,0.965473115444183,-5.82915649064088E-6,1.23199616933718E-8,1,1,13.9012460708618,7.98175003071527,32.5399996340275,-0.0116295106276978,-0.0017266163870073,1,2.88024972736233E-8,-5.82915649064088E-6,2.88024972736233E-8,,,,,,,,,,,,,,,,,,,,,300.262268066406,300.269226074219,0.965473115444183,0.965473115444183,52.3487884469671,5.67438824957683,6.66957473754883,14,1,0,0,0,0.501022338867188,31.2805480957031,1,1,1,300.269226074219,0,,,,,,,,,,,,,,,,
,3540392715.851,300.296005249023,1.16873073577881,-5.82160118818014E-6,8.92093033864879E-9,1,1,13.9012460708618,7.98170535902644,32.5399996340275,-0.0116091040932359,-0.00175887041296931,1,1.14605512976801E-8,-5.82160118818014E-6,1.14605512976801E-8,,,,,,,,,,,,,,,,,,,,,300.294281005859,300.297729492188,1.16873073577881,1.16873073577881,52.2999366645151,5.67493435901449,6.65856742858887,14,1,0,0,0,0.497360229492188,31.7693061828613,1,1,1,300.298126220703,0,,,,,,,,,,,,,,,,
,3540392721.937,300.287170410156,1.13061988353729,-5.8201045325249E-6,1.07142611311115E-8,1,1,13.9012460708618,7.98168503788632,32.5399996340275,-0.0116077986510121,-0.00174736852145245,1,1.69990870985177E-8,-5.8201045325249E-6,1.69990870985177E-8,,,,,,,,,,,,,,,,,,,,,300.285522460937,300.288818359375,1.13061988353729,1.13061988353729,52.4035024433132,5.67516255164104,6.64917707443237,14,1,0,0,0,0.497360229492188,31.2805480957031,1,1,1,300.285522460937,0,,,,,,,,,,,,,,,,
,3540392728.046,300.264266967773,1.33387744426727,-5.83922456812945E-6,1.02539653165381E-8,1,1,13.9012460708618,7.98165635301123,32.5399996340275,-0.0116468088714144,-0.00174723950665067,1,1.99973553195832E-8,-5.83922456812945E-6,1.99973553195832E-8,,,,,,,,,,,,,,,,,,,,,300.261688232422,300.266845703125,1.33387744426727,1.33387744426727,52.4269512988902,5.67485580307639,6.66376399993896,14,1,0,0,0,0.496826171875,31.7693061828613,1,1,1,300.261688232422,0,,,,,,,,,,,,,,,,
,3540392735.038,300.25016784668,1.49902403354645,-5.81961870971478E-6,1.04490646832536E-8,1,1,13.9012460708618,7.98165642936129,32.5399996340275,-0.0116093632189133,-0.00173056172762953,1,2.53533637544724E-8,-5.81961870971478E-6,2.53533637544724E-8,,,,,,,,,,,,,,,,,,,,,300.248901367188,300.251434326172,1.49902403354645,1.49902403354645,52.3077529497075,5.67520746842171,6.6709132194519,14,1,0,0,0,0.497970581054687,32.2580642700195,1,1,1,300.248901367188,0,,,,,,,,,,,,,,,,
,3540392741.062,300.222381591797,1.47361695766449,-5.82383937618637E-6,1.00111706503892E-8,1,1,13.9012460708618,7.98166399192087,32.5399996340275,-0.0116168475564034,-0.00173795118090562,1,2.22950902341924E-8,-5.82383937618636E-6,2.22950902341924E-8,,,,,,,,,,,,,,,,,,,,,300.220245361328,300.224517822266,1.47361695766449,1.47361695766449,52.4285145559286,5.67513069770428,6.66253852844238,14,1,0,0,0,0.493850708007812,32.2580642700195,1,1,1,300.220245361328,0,,,,,,,,,,,,,,,,
,3540392747.187,300.206939697266,1.82931756973267,-5.80700034062631E-6,1.00331727789036E-8,1,1,13.9012460708618,7.98166315491031,32.5399996340275,-0.0115817066492421,-0.00174303060975811,1,1.71619195016678E-8,-5.80700034062631E-6,1.71619195016678E-8,,,,,,,,,,,,,,,,,,,,,300.205871582031,300.2080078125,1.82931756973267,1.82931756973267,52.4480552689094,5.67513946431591,6.65531015396118,14,1,0,0,0,0.500717163085937,32.2580642700195,1,1,1,300.205871582031,0,,,,,,,,,,,,,,,,
,3540392754.054,300.193313598633,1.8166139125824,-5.81649987007896E-6,1.0558686088391E-8,1,1,13.9012460708618,7.98168134204815,32.5499983131886,-0.0115997877521181,-0.00175161781847842,1,1.43139225717403E-8,-5.81649987007897E-6,1.43139225717403E-8,,,,,,,,,,,,,,,,,,,,,300.191589355469,300.195037841797,1.8166139125824,1.8166139125824,52.3323742480632,5.67538017517255,6.6611704826355,14,1,0,0,0,0.498428344726562,32.2580642700195,1,1,1,300.191131591797,0,,,,,,,,,,,,,,,,
