# Datafile created by QuickNXS 0.9.39
# Date: 2014-03-13 11:01:11
# Type: Specular
# Input file indices: 15872+15873+15874+15875+15876
# Extracted states: +
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos  y_width  bg_pos  bg_width  dpix  tth  number  File                                            
# 1      0   0   157.7   9        128    82       54      92        158   0    15870   /SNS/REF_M/IPTS-10356/data/REF_M_15870_histo.nxs
# 2      0   0   157.7   9        128    82       54      92        158   0    15871   /SNS/REF_M/IPTS-10356/data/REF_M_15871_histo.nxs
# 
# [Data Runs]
# scale     P0    PN   x_pos   x_width  y_pos  y_width  bg_pos  bg_width  extract_fan  dpix  tth        number  DB_ID  File                                            
# 4.20727   86    28   167.3   9        133    70       54      92        False        158   0.702693   15872   1      /SNS/REF_M/IPTS-10356/data/REF_M_15872_histo.nxs
# 4.1783    114   6    168.2   9        133    70       54      92        False        158   0.702693   15873   2      /SNS/REF_M/IPTS-10356/data/REF_M_15873_histo.nxs
# 4.51856   114   3    169.5   9        133    70       54      92        False        158   1.22983    15874   2      /SNS/REF_M/IPTS-10356/data/REF_M_15874_histo.nxs
# 2.36048   116   4    171.9   9        133    70       54      92        False        158   2.28737    15875   2      /SNS/REF_M/IPTS-10356/data/REF_M_15875_histo.nxs
# 1.26474   116   3    172.1   9        133    70       54      92        False        158   4.39219    15876   2      /SNS/REF_M/IPTS-10356/data/REF_M_15876_histo.nxs
# 
# [Global Options]
# name           value
# sample_length  20   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
9.157317e-03      	9.777148e-01      	6.988543e-03      	2.455737e-04      	4.855933e-03      
9.260789e-03      	9.775967e-01      	6.382189e-03      	2.483894e-04      	4.855933e-03      
9.366627e-03      	9.862275e-01      	6.006753e-03      	2.512709e-04      	4.855933e-03      
9.474912e-03      	9.884504e-01      	5.687149e-03      	2.542203e-04      	4.855933e-03      
9.585730e-03      	9.867886e-01      	5.459695e-03      	2.572406e-04      	4.855933e-03      
9.699170e-03      	9.880312e-01      	5.326005e-03      	2.603338e-04      	4.855933e-03      
9.815328e-03      	9.849796e-01      	5.223899e-03      	2.635031e-04      	4.855933e-03      
9.934301e-03      	9.832847e-01      	5.124904e-03      	2.667510e-04      	4.855933e-03      
1.005620e-02      	9.915063e-01      	5.034146e-03      	2.700806e-04      	4.855933e-03      
1.018112e-02      	9.972073e-01      	4.955716e-03      	2.734951e-04      	4.855933e-03      
1.030918e-02      	9.878783e-01      	4.839136e-03      	2.769977e-04      	4.855933e-03      
1.044051e-02      	9.928559e-01      	4.736903e-03      	2.805920e-04      	4.855933e-03      
1.057522e-02      	1.009189e+00      	4.620387e-03      	2.842816e-04      	4.855933e-03      
1.071346e-02      	1.007934e+00      	4.496849e-03      	2.880705e-04      	4.855933e-03      
1.085536e-02      	1.013872e+00      	4.444205e-03      	2.919626e-04      	4.855933e-03      
1.100107e-02      	1.007269e+00      	4.370148e-03      	2.959624e-04      	4.855933e-03      
1.115075e-02      	1.011591e+00      	4.308994e-03      	3.000743e-04      	4.855933e-03      
1.130455e-02      	1.016893e+00      	4.234933e-03      	3.043033e-04      	4.855933e-03      
1.146265e-02      	1.017514e+00      	4.211033e-03      	3.086542e-04      	4.855933e-03      
1.162525e-02      	1.001366e+00      	4.218832e-03      	3.131329e-04      	4.855933e-03      
1.179252e-02      	9.860977e-01      	4.117170e-03      	3.177447e-04      	4.855933e-03      
1.196467e-02      	1.023722e+00      	4.037074e-03      	3.224960e-04      	4.855933e-03      
1.214192e-02      	1.021129e+00      	3.907491e-03      	3.273931e-04      	4.855933e-03      
1.232451e-02      	1.015328e+00      	3.810655e-03      	3.324429e-04      	4.855933e-03      
1.251267e-02      	1.034784e+00      	3.754191e-03      	3.376529e-04      	4.855933e-03      
1.270667e-02      	1.024902e+00      	3.729154e-03      	3.430306e-04      	4.855933e-03      
1.290677e-02      	9.998114e-01      	3.732258e-03      	3.485848e-04      	4.855933e-03      
1.298756e-02      	1.010311e+00      	3.156242e-03      	3.590028e-04      	4.732428e-03      
1.311328e-02      	1.018451e+00      	3.795616e-03      	3.543238e-04      	4.855933e-03      
1.320223e-02      	1.023666e+00      	2.935524e-03      	3.651119e-04      	4.732428e-03      
1.332650e-02      	1.020055e+00      	3.702424e-03      	3.602577e-04      	4.855933e-03      
1.342412e-02      	1.004705e+00      	2.843924e-03      	3.714355e-04      	4.732428e-03      
1.354678e-02      	1.016567e+00      	3.652361e-03      	3.663962e-04      	4.855933e-03      
1.365359e-02      	1.004156e+00      	2.795743e-03      	3.779850e-04      	4.732428e-03      
1.377445e-02      	9.965245e-01      	3.635275e-03      	3.727507e-04      	4.855933e-03      
1.389104e-02      	1.013677e+00      	2.760870e-03      	3.847729e-04      	4.732428e-03      
1.400991e-02      	9.965082e-01      	3.624564e-03      	3.793325e-04      	4.855933e-03      
1.413690e-02      	9.959993e-01      	2.718567e-03      	3.918127e-04      	4.732428e-03      
1.425356e-02      	1.001000e+00      	3.596019e-03      	3.861544e-04      	4.855933e-03      
1.439162e-02      	9.828726e-01      	2.711052e-03      	3.991187e-04      	4.732428e-03      
1.450584e-02      	9.819277e-01      	3.548190e-03      	3.932299e-04      	4.855933e-03      
1.465569e-02      	9.707389e-01      	2.835394e-03      	4.067067e-04      	4.732428e-03      
1.476720e-02      	9.670147e-01      	3.550143e-03      	4.005734e-04      	4.855933e-03      
1.492963e-02      	9.436998e-01      	2.736644e-03      	4.145933e-04      	4.732428e-03      
1.503816e-02      	9.461652e-01      	3.701770e-03      	4.082012e-04      	4.855933e-03      
1.521400e-02      	9.411238e-01      	2.649627e-03      	4.227970e-04      	4.732428e-03      
1.531925e-02      	9.138555e-01      	3.929231e-03      	4.161297e-04      	4.855933e-03      
1.550942e-02      	9.123724e-01      	2.520564e-03      	4.313373e-04      	4.732428e-03      
1.581653e-02      	8.927576e-01      	2.441938e-03      	4.402359e-04      	4.732428e-03      
1.613606e-02      	8.558782e-01      	2.361918e-03      	4.495160e-04      	4.732428e-03      
1.646876e-02      	8.106947e-01      	2.276364e-03      	4.592029e-04      	4.732428e-03      
1.681547e-02      	7.680709e-01      	2.178962e-03      	4.693247e-04      	4.732428e-03      
1.717710e-02      	7.054825e-01      	2.063103e-03      	4.799114e-04      	4.732428e-03      
1.755461e-02      	6.528918e-01      	1.952279e-03      	4.909968e-04      	4.732428e-03      
1.794910e-02      	5.838453e-01      	1.802410e-03      	5.026169e-04      	4.732428e-03      
