TDI Format 2.0	index	value	stage	curve_fit:Ic	curve_fit:Ic_err	curve_fit:Rn	curve_fit:Rn_err	counter:Value
alert.type{str}='command'	0.0	0.0	0.0	0.0005010446218763267	1.1349509511734175e-06	0.004996268920274883	5.789727333179094e-06	0.0
alert.class{str}='stoner_measurement.plugins.command.alert:AlertCommand'	1.0	0.025	0.0	0.0005044817774652973	9.423324181256915e-07	0.004999922003784528	5.822876181480765e-06	0.025
alert.instance_name{str}='alert'	2.0	0.05	0.0	0.0005030171508776611	1.069392495403707e-06	0.004995617311110104	5.963714015273283e-06	0.05
alert.message_expr{str}="'Alert'"	3.0	0.07500000000000001	0.0	0.0004978057158119221	1.3187768504543439e-06	0.005005438627239867	6.128398979559385e-06	0.07500000000000001
counter.type{str}='state_scan'	4.0	0.1	0.0	0.0004900881978056501	7.304887184151307e-07	0.005013065444735017	5.426145139726575e-06	0.1
counter.class{str}='stoner_measurement.plugins.state_scan.counter:CounterPlugin'	5.0	0.125	0.0	0.00048824951435991567	1.0410389698016232e-06	0.0050108955464399745	6.20098177990196e-06	0.125
counter.instance_name{str}='counter'	6.0	0.15000000000000002	0.0	0.000481409632115813	1.3685012369310293e-06	0.004998335692863796	6.174558317413077e-06	0.15000000000000002
counter.collect_data{bool}=True	7.0	0.17500000000000002	0.0	0.000474705980094918	7.233273889792047e-07	0.004996239677378146	5.658378175717344e-06	0.17500000000000002
counter.clear_on_start{bool}=True	8.0	0.2	0.0	0.0004669195670611505	1.2565015165473086e-06	0.004997717964133306	5.7359594440208434e-06	0.2
counter.collect_filter{str}='counter.meas_flag'	9.0	0.225	0.0	0.0004574325431057525	1.0030648775851583e-06	0.005001422339117573	5.942752190861259e-06	0.225
counter.clear_filter{str}='True'	10.0	0.25	0.0	0.00045457685075892977	1.2040428494424734e-06	0.005008452343896381	5.994257195288267e-06	0.25
counter.collect_outputs{NoneType}=None	11.0	0.275	0.0	0.0004414722191402669	1.049456309965393e-06	0.005003129345889716	5.751670380588692e-06	0.275
counter.scan_generator.type{str}='SteppedScanGenerator'	12.0	0.30000000000000004	0.0	0.00043347905717071924	1.4523128066218727e-06	0.00499933734514696	6.004180329569332e-06	0.30000000000000004
counter.scan_generator.start{float}=0.0	13.0	0.325	0.0	0.0004162467905326191	1.5409711929712392e-06	0.005001848440869462	6.002549117278804e-06	0.325
counter.scan_generator.stages[0][0]{float}=2.5	14.0	0.35000000000000003	0.0	0.000407303568207484	1.3165415529169049e-06	0.005004982327775528	5.703425835298861e-06	0.35000000000000003
counter.scan_generator.stages[0][1]{float}=0.025	15.0	0.375	0.0	0.0003917088746077214	1.4874196490082672e-06	0.004994365166901602	6.1186890814746485e-06	0.375
counter.scan_generator.stages[0][2]{int}=100	16.0	0.4	0.0	0.00038060025117703515	1.3285728945737727e-06	0.0049960777180695784	5.905842119532051e-06	0.4
counter.scan_generator.stages[0][3]{bool}=True	17.0	0.42500000000000004	0.0	0.00036678650044174915	1.3808779401748543e-06	0.005008327572430892	6.068393696080066e-06	0.42500000000000004
counter.scan_generator.stages[1][0]{float}=-2.5	18.0	0.45	0.0	0.0003497777411822553	1.4675223210283401e-06	0.005008224291787418	5.701362093383444e-06	0.45
