TDI Format 2.0	index	value	stage	curve_fit:Ic	curve_fit:Ic_err	curve_fit:Rn	curve_fit:Rn_err	counter:Value
alert.type{str}='command'	0.0	0.0	0.0	0.0004975874982740017	1.3400395858892525e-06	0.004993357640054172	6.180508114333681e-06	0.0
alert.class{str}='stoner_measurement.plugins.command.alert:AlertCommand'	1.0	0.025	0.0	0.0005027919121277189	1.1159067341794793e-06	0.005000033780217832	6.152961405284499e-06	0.025
alert.instance_name{str}='alert'	2.0	0.05	0.0	0.0004995885199241541	1.2577050663486381e-06	0.004997449665151984	6.1162993818827985e-06	0.05
alert.message_expr{str}="'Alert'"	3.0	0.07500000000000001	0.0	0.0004962267487118059	1.4205895460558061e-06	0.004993025650986636	6.362041838780014e-06	0.07500000000000001
counter.type{str}='state_scan'	4.0	0.1	0.0	0.0004929107909983839	1.5251933002081597e-06	0.005013009646053974	6.4652732626472055e-06	0.1
counter.class{str}='stoner_measurement.plugins.state_scan.counter:CounterPlugin'	5.0	0.125	0.0	0.00048785521331729524	1.0343873966159207e-06	0.0049992917041422925	5.969162486980014e-06	0.125
counter.instance_name{str}='counter'	6.0	0.15000000000000002	0.0	0.00048478486975938847	1.2694439579508408e-06	0.004990882603149743	6.287628276470826e-06	0.15000000000000002
counter.collect_data{bool}=True	7.0	0.17500000000000002	0.0	0.0004732291036128203	9.197858976340297e-07	0.005014504623043658	5.742805991721759e-06	0.17500000000000002
counter.clear_on_start{bool}=True	8.0	0.2	0.0	0.00046969882791928174	1.2008542945224764e-06	0.005001571764148312	5.994795263745142e-06	0.2
counter.collect_filter{str}='counter.meas_flag'	9.0	0.225	0.0	0.00046089474363879474	1.5778400922072293e-06	0.005013387409103056	6.413615311506183e-06	0.225
counter.clear_filter{str}='True'	10.0	0.25	0.0	0.00045016987133378756	1.4150118309255376e-06	0.004990690082470261	6.138241086568702e-06	0.25
counter.collect_outputs{NoneType}=None	11.0	0.275	0.0	0.0004400520392341473	1.172490254349668e-06	0.005001582293418473	5.906961598248897e-06	0.275
counter.scan_generator.type{str}='SteppedScanGenerator'	12.0	0.30000000000000004	0.0	0.00043065994024102963	1.4604452127400287e-06	0.0050048067736485	5.748892868600446e-06	0.30000000000000004
counter.scan_generator.start{float}=0.0	13.0	0.325	0.0	0.0004189269735005746	1.4211821182410446e-06	0.00498611589696148	5.7992514628379545e-06	0.325
counter.scan_generator.stages[0][0]{float}=2.5	14.0	0.35000000000000003	0.0	0.0004066242988944279	1.3278609066264271e-06	0.005018784791035425	5.661174531732213e-06	0.35000000000000003
counter.scan_generator.stages[0][1]{float}=0.025	15.0	0.375	0.0	0.00039278173061693553	1.4324505762697452e-06	0.004994123331383421	6.065454721835597e-06	0.375
counter.scan_generator.stages[0][2]{int}=100	16.0	0.4	0.0	0.00037984983572460153	1.3661051918969755e-06	0.004999334955033505	5.911800308830159e-06	0.4
counter.scan_generator.stages[0][3]{bool}=True	17.0	0.42500000000000004	0.0	0.0003644241339652945	1.518741538526126e-06	0.005006228833268443	6.167431285829027e-06	0.42500000000000004
counter.scan_generator.stages[1][0]{float}=-2.5	18.0	0.45	0.0	0.0003527446337444621	1.2554393726798028e-06	0.00500165551895776	5.331092410269588e-06	0.45
counter.scan_generator.stages[1][1]{float}=0.025	19.0	0.47500000000000003	0.0	0.0003369686529433838	1.5789992857067985e-06	0.005007179660504301	6.113264088337634e-06	0.47500000000000003
counter.scan_generator.stages[1][2]{int}=200	20.0	0.5	0.0	0.00031698209235298214	1.0706355127587425e-06	0.005001325831924239	5.375707802656585e-06	0.5
counter.scan_generator.stages[1][3]{bool}=True	21.0	0.525	0.0	0.00030253447832784497	1.2543309106655268e-06	0.005010423313362595	5.405930283787718e-06	0.525
counter.scan_generator.stages[2][0]{float}=0.0	22.0	0.55	0.0	0.00028762711787535026	1.5349118626076654e-06	0.004992045136110745	5.785071250760445e-06	0.55
